no	id	pipeline	server	tile_path	tiles	tile_gb	source_3857_tif	source_gb	source_updated	dem_dir	note
1	pref-nagano	A	shiworks2	raster-tiles/pref-nagano/nagano-csmap-tiles	2082482	116.7	E:/GIS/pref-nagano/csmap-py/nagano-dem-csmap-3857.tif	78.4	2025-05-24	E:/GIS/pref-nagano	最大のデータセット。外部利用あり(oh3lab.jp)
2	pref-okayama	A	shiworks2	raster-tiles/pref-okayama/okayama-csmap-tiles	1055497	71.6	E:/GIS/pref-okayama/csmap-py/okayama-dem-csmap-3857.tif	49.8	2025-06-16	E:/GIS/pref-okayama	外部利用あり(www.hb.pei.jp)
3	pref-shizuoka	B	shiworks	raster-tiles/pref-shizuoka/shizuoka-cs-tiles	1334759	68.6	H:/GIS/geospatial/SHIZUOKA-CS-2023/shizuoka-cs_epsg3857.tif	61.4	2023	H:/GIS/geospatial/SHIZUOKA-CS-2023/tif	静岡県配布のCS立体図を統合。作業一式310GB
4	pref-hiroshima-2022	A	shiworks	raster-tiles/pref-hiroshima/hiroshimapc-2022-cs-tiles	1050769	66.7	E:/GIS/pref-hiroshima-dem-2022/csmap-py/hiroshima-dem-2022-csmap-3857.tif	45.9	2025-05-18	E:/GIS/pref-hiroshima-dem-2022	2022年版
5	pref-kyoto	A	shiworks2	raster-tiles/pref-kyoto/kyoto-csmap-tiles	1148341	50.7	E:/GIS/pref-kyoto/csmap-py/kyoto-csmap-3857.tif	34.6	2025-05-12	E:/GIS/pref-kyoto	外部利用最多(奈良文化財研究所ほか)
6	pref-yamanashi	A	shiworks2	raster-tiles/pref-yamanashi/yamanashi-csmap-tiles	674084	44.8	E:/GIS/pref-yamanashi/csmap-py/yamanashi-csmap-3857.tif	31.4	2025-05-13	E:/GIS/pref-yamanashi	外部利用あり
7	tokyopc-tama-2023	A	shiworks	raster-tiles/tokyo-digitaltwin/tokyopc-tama-2023-cs-tiles	919919	42.4	E:/GIS/tokyopc-tama-2023/csmap-py/tokyopc-tama-dem-csmap-3857.tif	30.6	2025-05-25	E:/GIS/tokyopc-tama-2023	多摩地域
8	pref-tottori	A	shiworks2	raster-tiles/pref-tottori/tottori-csmap-tiles	705410	34.7	E:/GIS/pref-tottori/csmap-py/tottori-dem-csmap-3857.tif	23.5	2025-06-17	E:/GIS/pref-tottori
9	rinya-noto-2024	A	shiworks	raster-tiles/rinya/noto-2024-csmap-tiles	928465	30.7	D:/rinya/noto-2024-csmap/csmap-py/noto-2024-dem-csmap-3857.tif	19.6	2025-06-01	D:/rinya/noto-2024-csmap	林野庁 能登2024
10	pref-toyama	A	shiworks2	raster-tiles/pref-toyama/toyama-csmap-tiles	585248	28.1	E:/GIS/pref-toyama/csmap-py/toyama-csmap-3857.tif	18.5	2025-05-11	E:/GIS/pref-toyama	外部利用あり
