mtime	bytes	gb	path
2026-06-28	5714791740	5.32	/mnt/c/Users/yshiw/Documents/GIS/pref-wakayama/wakayama-dem-csmap-3857.tif
2025-09-15	31067478	0.03	/mnt/e/GIS/pref-saitama/lp-pointcloud/grd/Interpolation-verification/csmap-py/kb271-surf-csmap.tif
2025-09-15	31086489	0.03	/mnt/e/GIS/pref-saitama/lp-pointcloud/grd/Interpolation-verification/csmap-py/kb271-trn-csmap.tif
2025-09-15	32706857	0.03	/mnt/e/GIS/pref-saitama/lp-pointcloud/grd/Interpolation-verification/csmap-py/kb271-near-csmap.tif
2025-09-14	14980829927	13.95	/mnt/e/GIS/pref-saitama/lp-pointcloud/csmap-py/saitama-csmap-v2-3857.tif
2025-09-14	20010729207	18.64	/mnt/e/GIS/pref-saitama/lp-pointcloud/csmap-py/saitama-csmap-v2.tif
2025-09-09	15760651191	14.68	/mnt/e/GIS/pref-saitama/lp-pointcloud/csmap-py/saitama-csmap-3857.tif
2025-09-08	20032448755	18.66	/mnt/e/GIS/pref-saitama/lp-pointcloud/csmap-py/saitama-csmap.tif
2025-06-26	7347808757	6.84	/mnt/e/GIS/pref-wakayama/pref-wakayama/csmap-py/wakayamapc-dem-csmap.tif
2025-06-25	13204307325	12.30	/mnt/e/GIS/pref-hiroshima/csmap-py/hiroshima-dem-csmap-3857.tif
2025-06-24	16729558784	15.58	/mnt/e/GIS/pref-hiroshima/csmap-py/hiroshima-dem-csmap.tif
2025-06-17	25216851362	23.49	/mnt/e/GIS/pref-tottori/csmap-py/tottori-dem-csmap-3857.tif
2025-06-16	15897375422	14.81	/mnt/e/GIS/pref-kanagawa/csmap-py/kanagawa-dem-csmap-3857.tif
2025-06-16	30330103730	28.25	/mnt/e/GIS/pref-tottori/csmap-py/tottori-dem-csmap.tif
2025-06-16	53458501360	49.79	/mnt/e/GIS/pref-okayama/csmap-py/okayama-dem-csmap-3857.tif
2025-06-16	61816034095	57.57	/mnt/e/GIS/pref-okayama/csmap-py/okayama-dem-csmap.tif
2025-06-15	17479153022	16.28	/mnt/e/GIS/pref-kanagawa/csmap-py/kanagawa-dem-csmap.tif
2025-06-12	11921685438	11.10	/mnt/e/GIS/pref-miyagi/csmap-py/miyagi-dem-csmap-3857.tif
2025-06-11	14895320532	13.87	/mnt/e/GIS/pref-miyagi/csmap-py/miyagi-dem-csmap.tif
2025-06-01	21078987719	19.63	/mnt/d/rinya/noto-2024-csmap/csmap-py/noto-2024-dem-csmap-3857.tif
2025-05-31	26081518028	24.29	/mnt/d/rinya/noto-2024-csmap/csmap-py/noto-2024-dem-csmap.tif
2025-05-26	1775504446	1.65	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-03-dem-csmap-3857.tif
2025-05-26	1967789209	1.83	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-02-dem-csmap-3857.tif
2025-05-26	2063846359	1.92	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-01-dem-csmap-3857.tif
2025-05-26	224918187	0.21	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-06-dem-csmap-3857.tif
2025-05-26	2383178623	2.22	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-05-dem-csmap-3857.tif
2025-05-26	261150598	0.24	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-06-dem-csmap.tif
2025-05-26	727784714	0.68	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-04-dem-csmap-3857.tif
2025-05-25	15054899660	14.02	/mnt/e/GIS/tokyopc-23ku-2024/csmap-py/tokyopc-23ku-dem-csmap-3857.tif
2025-05-25	16596962385	15.46	/mnt/e/GIS/tokyopc-23ku-2024/csmap-py/tokyopc-23ku-dem-csmap.tif
2025-05-25	2047059347	1.91	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-03-dem-csmap.tif
2025-05-25	2381393988	2.22	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-02-dem-csmap.tif
2025-05-25	2597235495	2.42	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-01-dem-csmap.tif
2025-05-25	2725632884	2.54	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-05-dem-csmap.tif
2025-05-25	32854250404	30.60	/mnt/e/GIS/tokyopc-tama-2023/csmap-py/tokyopc-tama-dem-csmap-3857.tif
2025-05-25	36244406975	33.76	/mnt/e/GIS/tokyopc-tama-2023/csmap-py/tokyopc-tama-dem-csmap.tif
2025-05-25	814521954	0.76	/mnt/c/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-04-dem-csmap.tif
2025-05-24	84188657884	78.41	/mnt/e/GIS/pref-nagano/csmap-py/nagano-dem-csmap-3857.tif
2025-05-24	96055027944	89.46	/mnt/e/GIS/pref-nagano/csmap-py/nagano-dem-csmap.tif
2025-05-19	15784775151	14.70	/mnt/e/GIS/pref-kanagawa/csmap-py/OLD/kanagawa-dem-csmap-3857.tif
2025-05-19	17374035128	16.18	/mnt/e/GIS/pref-kanagawa/csmap-py/OLD/kanagawa-dem-csmap.tif
2025-05-18	12817705370	11.94	/mnt/e/GIS/pref-hiroshima-dem/csmap-py/hiroshima-dem-csmap-3857.tif
2025-05-18	17161872794	15.98	/mnt/e/GIS/pref-hiroshima-dem/csmap-py/hiroshima-dem-csmap.tif
2025-05-18	49296893159	45.91	/mnt/e/GIS/pref-hiroshima-dem-2022/csmap-py/hiroshima-dem-2022-csmap-3857.tif
2025-05-18	60937763314	56.75	/mnt/e/GIS/pref-hiroshima-dem-2022/csmap-py/hiroshima-dem-2022-csmap.tif
2025-05-16	5714791740	5.32	/mnt/e/GIS/pref-wakayama/csmap-py/wakayama-dem-csmap-3857.tif
2025-05-15	7353966255	6.85	/mnt/e/GIS/pref-wakayama/csmap-py/wakayama-dem-csmap.tif
2025-05-14	26046354390	24.26	/mnt/c/Users/yshiw/Documents/GIS/noto-csmap/csmap-py/noto-dem-2024-csmap.tif
2025-05-13	33752616938	31.43	/mnt/e/GIS/pref-yamanashi/csmap-py/yamanashi-csmap-3857.tif
2025-05-13	40935578086	38.12	/mnt/e/GIS/pref-yamanashi/csmap-py/yamanashi-csmap.tif
2025-05-12	37182162734	34.63	/mnt/e/GIS/pref-kyoto/csmap-py/kyoto-csmap-3857.tif
2025-05-12	44882293143	41.80	/mnt/e/GIS/pref-kyoto/csmap-py/kyoto-csmap.tif
2025-05-11	19905807107	18.54	/mnt/e/GIS/pref-toyama/csmap-py/toyama-csmap-3857.tif
2025-05-11	24002877926	22.35	/mnt/e/GIS/pref-toyama/csmap-py/toyama-csmap.tif
2025-04-15	19969698941	18.60	/mnt/e/GIS/pref-toyama-dem/csmap/csmap-py-main/toyama-csmap-3857.tif
2025-04-15	23973480039	22.33	/mnt/e/GIS/pref-toyama-dem/csmap/csmap-py-main/toyama-csmap.tif
2025-04-06	33805540123	31.48	/mnt/e/GIS/pref-yamanashi-dem/csmap/csmap-py-main/yamanashi-csmap-3857.tif
2025-04-06	37318411528	34.76	/mnt/e/GIS/pref-kyoto-dem/csmap/csmap-py-main/kyoto-csmap-3857.tif
2025-04-06	40865682468	38.06	/mnt/e/GIS/pref-yamanashi-dem/csmap/csmap-py-main/yamanashi-csmap.tif
2025-04-06	44832422843	41.75	/mnt/e/GIS/pref-kyoto-dem/csmap/csmap-py-main/kyoto-csmap.tif
2024-12-31	21186420587	19.73	/mnt/e/GIS/noto-cs-2024/csmap-py-main/noto-dem-2024-csmap-3857.tif
2024-12-30	26046354390	24.26	/mnt/e/GIS/noto-cs-2024/csmap-py-main/noto-dem-2024-csmap.tif
2024-09-15	7799643	0.01	/mnt/h/GIS/open-nagasaki-tsusima-si/csmap-py-main/FD251-3857-CSMAP-COG.tif
2024-09-01	8032399	0.01	/mnt/h/GIS/open-nagasaki-tsusima-si/csmap-py-main/FD251-3857-CSMAP.tif
2024-06-05	9681571	0.01	/mnt/h/GIS/open-nagasaki-tsusima-si/csmap-py-main/tests/fixture/csmap.tif
2024-05-12	34281103	0.03	/mnt/h/GIS/open-nagasaki-tsusima-si/OLD/test-smrf/csmap-py-main/mergefile_grd_dem-6669-csmap.tif
2024-05-04	52169974457	48.59	/mnt/g/GIS/pref-hiroshima-2022/csmap-py-main/hiroshimapc-dem-2022-csmap-3857.tif
2024-05-04	61048899198	56.86	/mnt/g/GIS/pref-hiroshima-2022/csmap-py-main/hiroshimapc-dem-2022-csmap.tif
2024-04-13	29884780	0.03	/mnt/h/GIS/pref-hiroshima/txt-2022/csmap-py-main/PD493-csmap-3.tif
2024-04-13	32002504	0.03	/mnt/h/GIS/pref-hiroshima/txt-2022/csmap-py-main/PD493-csmap-2.tif
2024-04-13	32236680	0.03	/mnt/h/GIS/pref-hiroshima/txt-2022/csmap-py-main/PD493-csmap-4.tif
2024-04-08	26784553	0.02	/mnt/h/GIS/pref-hiroshima/txt-2022/csmap-py-main/PD493-csmap.tif
2024-04-01	13097948567	12.20	/mnt/h/GIS/pref-hiroshima/csmap-py-main/hiroshimapc-dem-csmap-3857.tif
2024-04-01	17163681808	15.98	/mnt/h/GIS/pref-hiroshima/csmap-py-main/hiroshimapc-dem-csmap.tif
2024-03-31	30243307	0.03	/mnt/h/GIS/pref-hiroshima/OLD/csmap-py-main/hiroshimapc-dem-csmap.tif
2024-03-30	7746487	0.01	/mnt/h/GIS/pref-hiroshima/txt-test/txt/csmap-py-main/QF311-dem-3857-csmap.tif
2024-03-25	24388844	0.02	/mnt/h/GIS/open-nagasaki-tsusima-si/OLD/test/csmap-py-main/merge_file_grd_dem-6669-csmap.tif
2024-03-24	5874904149	5.47	/mnt/h/GIS/pref-wakayama/wakayama-pointcloud/csmap-py-main/wakayamapc-dem-csmap-3857.tif
2024-03-24	7348699158	6.84	/mnt/h/GIS/pref-wakayama/wakayama-pointcloud/csmap-py-main/wakayamapc-dem-csmap.tif
2024-03-23	17583002	0.02	/mnt/h/GIS/pref-wakayama/wakayama-pointcloud/OLD2/WhiteboxTools/csmap-py-main/merged_output-csmap.tif
2024-03-22	69767252	0.06	/mnt/h/GIS/pref-wakayama/wakayama-pointcloud/OLD2/WhiteboxTools/csmap-py-main/wakayamapc-dem-6674-filled-csmap.tif
2024-03-17	2264435091	2.11	/mnt/e/GIS/PGC_ArcticDEM/csmap-py-main/isl-grindavik-dem-csmap.tif
2024-03-16	87969799	0.08	/mnt/e/GIS/tokyo-digitaltwin/tokyopc-tama-2023/tokyo-ogochi-dam-csmap-200.tif
2024-03-16	88569032	0.08	/mnt/e/GIS/tokyo-digitaltwin/tokyopc-tama-2023/tokyo-ogochi-dam-csmap-500.tif
